payment_id,bank_txn_id,expected_case
PAY0001,BNK0001,match
PAY0002,BNK0002,match
PAY0003,BNK0003,match
PAY0004,BNK0004,match
PAY0005,BNK0005,match
PAY0006,BNK0006,match
PAY0007,BNK0007,match
PAY0008,BNK0008,match
PAY0009,,missing_settlement
PAY0010,BNK0010,match
PAY0011,BNK0011,match
PAY0012,BNK0012,match
PAY0013,BNK0013,match
PAY0014,,financial_mismatch
PAY0015,BNK0015,match
PAY0016,BNK0016,match
PAY0017,,refunded
PAY0018,BNK0018,match
PAY0019,BNK0019,match
PAY0020,BNK0020,match
PAY0021,BNK0021,match
PAY0022,BNK0022,match
PAY0023,BNK0023,match
PAY0024,BNK0024,match
PAY0025,,missing_bank_credit
PAY0026,BNK0026,match
PAY0027,BNK0027,match
PAY0028,BNK0028,match
PAY0029,BNK0029,match
PAY0030,BNK0030,match
PAY0031,BNK0031,match
PAY0032,BNK0032,match
PAY0033,,financial_mismatch
PAY0034,BNK0034,match
PAY0035,BNK0035,match
PAY0036,BNK0036,match
PAY0037,BNK0037,match
PAY0038,BNK0038,match
PAY0039,BNK0039,match
PAY0040,BNK0040,match
PAY0041,BNK0041,match
PAY0042,,missing_settlement
PAY0043,BNK0043,match
PAY0044,BNK0044,match
PAY0045,BNK0045,match
PAY0046,BNK0046,match
PAY0047,BNK0047,match
PAY0048,BNK0048,match
PAY0049,BNK0049,match
PAY0050,BNK0050,match
PAY0051,BNK0051,match
PAY0052,BNK0052,match
PAY0053,BNK0053,match
PAY0054,,refunded
PAY0055,BNK0055,match
PAY0056,BNK0056,match
PAY0057,BNK0057,match
PAY0058,BNK0058,match
PAY0059,BNK0059,match
PAY0060,BNK0060,match
PAY0061,,financial_mismatch
PAY0062,BNK0062,match
PAY0063,BNK0063,match
PAY0064,BNK0064,match
PAY0065,BNK0065,match
PAY0066,BNK0066,match
PAY0067,,financial_mismatch
PAY0068,BNK0068,match
PAY0069,BNK0069,match
PAY0070,BNK0070,match
PAY0071,BNK0071,match
PAY0072,BNK0072,match
PAY0073,,missing_bank_credit
PAY0074,BNK0074,match
PAY0075,BNK0075,match
PAY0076,BNK0076,match
PAY0077,BNK0077,match
PAY0078,BNK0078,match
PAY0079,,missing_settlement
PAY0080,BNK0080,match
PAY0081,BNK0081,match
PAY0082,BNK0082,match
PAY0083,BNK0083,match
PAY0084,BNK0084,match
PAY0085,BNK0085,match
PAY0086,BNK0086,match
PAY0087,BNK0087,match
PAY0088,,refunded
PAY0089,BNK0089,match
PAY0090,BNK0090,match
PAY0091,BNK0091,match
PAY0092,BNK0092,match
PAY0093,BNK0093,match
PAY0094,BNK0094,match
PAY0095,BNK0095,match
PAY0096,BNK0096,match
PAY0097,BNK0097,match
PAY0098,BNK0098,match
PAY0099,BNK0099,match
PAY0100,BNK0100,match
