bank_txn_id,reference,credit_amount,credited_at
BNK0001,SETL0001,14028.70,2026-08-05
BNK0002,SETL0002,1689.52,2026-08-06
BNK0003,SETL0003,16750.16,2026-08-07
BNK0004,SETL0004,12147.10,2026-08-08
BNK0005,RZP-SETL0005-CR,5360.60,2026-08-09
BNK0006,SETL0006,9203.18,2026-08-10
BNK0007,SETL0007,12228.44,2026-08-12
BNK0008,SETL0008,7376.46,2026-08-12
BNK0010,RZP-SETL0010-CR,6916.84,2026-08-14
BNK0011,SETL0011,12066.74,2026-08-15
BNK0012,SETL0012,1645.42,2026-08-16
BNK0013,SETL0013,9792.16,2026-08-17
BNK0014,SETL0014,17253.38,2026-08-19
BNK0015,RZP-SETL0015-CR,14911.68,2026-08-19
BNK0016,SETL0016,16738.40,2026-08-20
BNK0018,SETL0018,14679.42,2026-08-22
BNK0019,SETL0019,1111.32,2026-08-23
BNK0020,RZP-SETL0020-CR,18386.76,2026-08-04
BNK0021,SETL0021,12379.36,2026-08-06
BNK0022,SETL0022,16069.06,2026-08-06
BNK0023,SETL0023,12279.40,2026-08-07
BNK0024,SETL0024,9588.32,2026-08-08
BNK0026,SETL0026,14283.50,2026-08-10
BNK0027,SETL0027,18849.32,2026-08-11
BNK0028,SETL0028,18706.24,2026-08-13
BNK0029,SETL0029,18985.54,2026-08-13
BNK0030,RZP-SETL0030-CR,13021.26,2026-08-14
BNK0031,SETL0031,18024.16,2026-08-15
BNK0032,SETL0032,16216.06,2026-08-16
BNK0033,SETL0033,13760.24,2026-08-17
BNK0034,SETL0034,8123.22,2026-08-18
BNK0035,RZP-SETL0035-CR,545.86,2026-08-20
BNK0036,SETL0036,12057.92,2026-08-20
BNK0037,SETL0037,19557.86,2026-08-21
BNK0038,SETL0038,15417.36,2026-08-22
BNK0039,SETL0039,5555.62,2026-08-23
BNK0040,RZP-SETL0040-CR,12838.98,2026-08-04
BNK0041,SETL0041,16661.96,2026-08-05
BNK0043,SETL0043,5258.68,2026-08-07
BNK0044,SETL0044,16796.22,2026-08-08
BNK0045,RZP-SETL0045-CR,596.82,2026-08-09
BNK0046,SETL0046,14271.74,2026-08-10
BNK0047,SETL0047,7588.14,2026-08-11
BNK0048,SETL0048,11967.76,2026-08-12
BNK0049,SETL0049,5364.52,2026-08-14
BNK0050,RZP-SETL0050-CR,19228.58,2026-08-14
BNK0051,SETL0051,11172.98,2026-08-15
BNK0052,SETL0052,6795.32,2026-08-16
BNK0053,SETL0053,9751.98,2026-08-17
BNK0055,RZP-SETL0055-CR,1042.72,2026-08-19
BNK0056,SETL0056,2921.38,2026-08-21
BNK0057,SETL0057,7705.74,2026-08-21
BNK0058,SETL0058,17747.80,2026-08-22
BNK0059,SETL0059,8489.74,2026-08-23
BNK0060,RZP-SETL0060-CR,16219.98,2026-08-04
BNK0061,SETL0061,9937.68,2026-08-05
BNK0062,SETL0062,15875.02,2026-08-06
BNK0063,SETL0063,1300.46,2026-08-08
BNK0064,SETL0064,10533.04,2026-08-08
BNK0065,RZP-SETL0065-CR,17636.08,2026-08-09
BNK0066,SETL0066,2478.42,2026-08-10
BNK0067,SETL0067,8643.66,2026-08-11
BNK0068,SETL0068,4766.72,2026-08-12
BNK0069,SETL0069,1822.80,2026-08-13
BNK0070,RZP-SETL0070-CR,1595.44,2026-08-15
BNK0071,SETL0071,18987.50,2026-08-15
BNK0072,SETL0072,4827.48,2026-08-16
BNK0074,SETL0074,14664.72,2026-08-18
BNK0075,RZP-SETL0075-CR,5448.80,2026-08-19
BNK0076,SETL0076,9246.30,2026-08-20
BNK0077,SETL0077,13173.16,2026-08-22
BNK0078,SETL0078,10854.48,2026-08-22
BNK0080,RZP-SETL0080-CR,3553.48,2026-08-04
BNK0081,SETL0081,10626.14,2026-08-05
BNK0082,SETL0082,13043.80,2026-08-06
BNK0083,SETL0083,1283.80,2026-08-07
BNK0084,SETL0084,8600.48,2026-08-09
BNK0085,RZP-SETL0085-CR,18516.12,2026-08-09
BNK0086,SETL0086,3134.04,2026-08-10
BNK0087,SETL0087,964.32,2026-08-11
BNK0089,SETL0089,12749.80,2026-08-13
BNK0090,RZP-SETL0090-CR,15386.00,2026-08-14
BNK0091,SETL0091,4960.76,2026-08-16
BNK0092,SETL0092,10873.10,2026-08-16
BNK0093,SETL0093,12022.64,2026-08-17
BNK0094,SETL0094,763.42,2026-08-18
BNK0095,RZP-SETL0095-CR,12220.60,2026-08-19
BNK0096,SETL0096,17115.70,2026-08-20
BNK0097,SETL0097,19184.48,2026-08-21
BNK0098,SETL0098,11023.04,2026-08-23
BNK0099,SETL0099,13056.54,2026-08-23
BNK0100,RZP-SETL0100-CR,3139.92,2026-08-04
BNK9998,UNKNOWN-CREDIT,8123.00,2026-08-22
