order_id,customer_id,amount,created_at
ORD0001,CUS001,14315.00,2026-08-02
ORD0002,CUS002,1724.00,2026-08-03
ORD0003,CUS003,17092.00,2026-08-04
ORD0004,CUS004,12395.00,2026-08-05
ORD0005,CUS005,5470.00,2026-08-06
ORD0006,CUS006,9391.00,2026-08-07
ORD0007,CUS007,12478.00,2026-08-08
ORD0008,CUS008,7527.00,2026-08-09
ORD0009,CUS009,19781.00,2026-08-10
ORD0010,CUS010,7058.00,2026-08-11
ORD0011,CUS011,12313.00,2026-08-12
ORD0012,CUS012,1679.00,2026-08-13
ORD0013,CUS013,9992.00,2026-08-14
ORD0014,CUS014,17631.00,2026-08-15
ORD0015,CUS015,15216.00,2026-08-16
ORD0016,CUS016,17080.00,2026-08-17
ORD0017,CUS017,12463.00,2026-08-18
ORD0018,CUS018,14979.00,2026-08-19
ORD0019,CUS019,1134.00,2026-08-20
ORD0020,CUS020,18762.00,2026-08-01
ORD0021,CUS021,12632.00,2026-08-02
ORD0022,CUS022,16397.00,2026-08-03
ORD0023,CUS023,12530.00,2026-08-04
ORD0024,CUS024,9784.00,2026-08-05
ORD0025,CUS025,2764.00,2026-08-06
ORD0026,CUS026,14575.00,2026-08-07
ORD0027,CUS027,19234.00,2026-08-08
ORD0028,CUS028,19088.00,2026-08-09
ORD0029,CUS000,19373.00,2026-08-10
ORD0030,CUS001,13287.00,2026-08-11
ORD0031,CUS002,18392.00,2026-08-12
ORD0032,CUS003,16547.00,2026-08-13
ORD0033,CUS004,14038.00,2026-08-14
ORD0034,CUS005,8289.00,2026-08-15
ORD0035,CUS006,557.00,2026-08-16
ORD0036,CUS007,12304.00,2026-08-17
ORD0037,CUS008,19957.00,2026-08-18
ORD0038,CUS009,15732.00,2026-08-19
ORD0039,CUS010,5669.00,2026-08-20
ORD0040,CUS011,13101.00,2026-08-01
ORD0041,CUS012,17002.00,2026-08-02
ORD0042,CUS013,11106.00,2026-08-03
ORD0043,CUS014,5366.00,2026-08-04
ORD0044,CUS015,17139.00,2026-08-05
ORD0045,CUS016,609.00,2026-08-06
ORD0046,CUS017,14563.00,2026-08-07
ORD0047,CUS018,7743.00,2026-08-08
ORD0048,CUS019,12212.00,2026-08-09
ORD0049,CUS020,5474.00,2026-08-10
ORD0050,CUS021,19621.00,2026-08-11
ORD0051,CUS022,11401.00,2026-08-12
ORD0052,CUS023,6934.00,2026-08-13
ORD0053,CUS024,9951.00,2026-08-14
ORD0054,CUS025,6264.00,2026-08-15
ORD0055,CUS026,1064.00,2026-08-16
ORD0056,CUS027,2981.00,2026-08-17
ORD0057,CUS028,7863.00,2026-08-18
ORD0058,CUS000,18110.00,2026-08-19
ORD0059,CUS001,8663.00,2026-08-20
ORD0060,CUS002,16551.00,2026-08-01
ORD0061,CUS003,10166.00,2026-08-02
ORD0062,CUS004,16199.00,2026-08-03
ORD0063,CUS005,1327.00,2026-08-04
ORD0064,CUS006,10748.00,2026-08-05
ORD0065,CUS007,17996.00,2026-08-06
ORD0066,CUS008,2529.00,2026-08-07
ORD0067,CUS009,8817.00,2026-08-08
ORD0068,CUS010,4864.00,2026-08-09
ORD0069,CUS011,1860.00,2026-08-10
ORD0070,CUS012,1628.00,2026-08-11
ORD0071,CUS013,19375.00,2026-08-12
ORD0072,CUS014,4926.00,2026-08-13
ORD0073,CUS015,4273.00,2026-08-14
ORD0074,CUS016,14964.00,2026-08-15
ORD0075,CUS017,5560.00,2026-08-16
ORD0076,CUS018,9435.00,2026-08-17
ORD0077,CUS019,13442.00,2026-08-18
ORD0078,CUS020,11076.00,2026-08-19
ORD0079,CUS021,16779.00,2026-08-20
ORD0080,CUS022,3626.00,2026-08-01
ORD0081,CUS023,10843.00,2026-08-02
ORD0082,CUS024,13310.00,2026-08-03
ORD0083,CUS025,1310.00,2026-08-04
ORD0084,CUS026,8776.00,2026-08-05
ORD0085,CUS027,18894.00,2026-08-06
ORD0086,CUS028,3198.00,2026-08-07
ORD0087,CUS000,984.00,2026-08-08
ORD0088,CUS001,9594.00,2026-08-09
ORD0089,CUS002,13010.00,2026-08-10
ORD0090,CUS003,15700.00,2026-08-11
ORD0091,CUS004,5062.00,2026-08-12
ORD0092,CUS005,11095.00,2026-08-13
ORD0093,CUS006,12268.00,2026-08-14
ORD0094,CUS007,779.00,2026-08-15
ORD0095,CUS008,12470.00,2026-08-16
ORD0096,CUS009,17465.00,2026-08-17
ORD0097,CUS010,19576.00,2026-08-18
ORD0098,CUS011,11248.00,2026-08-19
ORD0099,CUS012,13323.00,2026-08-20
ORD0100,CUS013,3204.00,2026-08-01
