payment_id,order_id,amount,status,paid_at
PAY0001,ORD0001,14315.00,captured,2026-08-02
PAY0002,ORD0002,1724.00,captured,2026-08-03
PAY0003,ORD0003,17092.00,captured,2026-08-04
PAY0004,ORD0004,12395.00,captured,2026-08-05
PAY0005,ORD0005,5470.00,captured,2026-08-06
PAY0006,ORD0006,9391.00,captured,2026-08-07
PAY0007,ORD0007,12478.00,captured,2026-08-08
PAY0008,ORD0008,7527.00,captured,2026-08-09
PAY0009,ORD0009,19781.00,captured,2026-08-10
PAY0010,ORD0010,7058.00,captured,2026-08-11
PAY0011,ORD0011,12313.00,captured,2026-08-12
PAY0012,ORD0012,1679.00,captured,2026-08-13
PAY0013,ORD0013,9992.00,captured,2026-08-14
PAY0014,ORD0014,17631.00,captured,2026-08-15
PAY0015,ORD0015,15216.00,captured,2026-08-16
PAY0016,ORD0016,17080.00,captured,2026-08-17
PAY0017,ORD0017,12463.00,refunded,2026-08-18
PAY0018,ORD0018,14979.00,captured,2026-08-19
PAY0019,ORD0019,1134.00,captured,2026-08-20
PAY0020,ORD0020,18762.00,captured,2026-08-01
PAY0021,ORD0021,12632.00,captured,2026-08-02
PAY0022,ORD0022,16397.00,captured,2026-08-03
PAY0023,ORD0023,12530.00,captured,2026-08-04
PAY0024,ORD0024,9784.00,captured,2026-08-05
PAY0025,ORD0025,2764.00,captured,2026-08-06
PAY0026,ORD0026,14575.00,captured,2026-08-07
PAY0027,ORD0027,19234.00,captured,2026-08-08
PAY0028,ORD0028,19088.00,captured,2026-08-09
PAY0029,ORD0029,19373.00,captured,2026-08-10
PAY0030,ORD0030,13287.00,captured,2026-08-11
PAY0031,ORD0031,18392.00,captured,2026-08-12
PAY0032,ORD0032,16547.00,captured,2026-08-13
PAY0033,ORD0033,14038.00,captured,2026-08-14
PAY0034,ORD0034,8289.00,captured,2026-08-15
PAY0035,ORD0035,557.00,captured,2026-08-16
PAY0036,ORD0036,12304.00,captured,2026-08-17
PAY0037,ORD0037,19957.00,captured,2026-08-18
PAY0038,ORD0038,15732.00,captured,2026-08-19
PAY0039,ORD0039,5669.00,captured,2026-08-20
PAY0040,ORD0040,13101.00,captured,2026-08-01
PAY0041,ORD0041,17002.00,captured,2026-08-02
PAY0042,ORD0042,11106.00,captured,2026-08-03
PAY0043,ORD0043,5366.00,captured,2026-08-04
PAY0044,ORD0044,17139.00,captured,2026-08-05
PAY0045,ORD0045,609.00,captured,2026-08-06
PAY0046,ORD0046,14563.00,captured,2026-08-07
PAY0047,ORD0047,7743.00,captured,2026-08-08
PAY0048,ORD0048,12212.00,captured,2026-08-09
PAY0049,ORD0049,5474.00,captured,2026-08-10
PAY0050,ORD0050,19621.00,captured,2026-08-11
PAY0051,ORD0051,11401.00,captured,2026-08-12
PAY0052,ORD0052,6934.00,captured,2026-08-13
PAY0053,ORD0053,9951.00,captured,2026-08-14
PAY0054,ORD0054,6264.00,refunded,2026-08-15
PAY0055,ORD0055,1064.00,captured,2026-08-16
PAY0056,ORD0056,2981.00,captured,2026-08-17
PAY0057,ORD0057,7863.00,captured,2026-08-18
PAY0058,ORD0058,18110.00,captured,2026-08-19
PAY0059,ORD0059,8663.00,captured,2026-08-20
PAY0060,ORD0060,16551.00,captured,2026-08-01
PAY0061,ORD0061,10166.00,captured,2026-08-02
PAY0062,ORD0062,16199.00,captured,2026-08-03
PAY0063,ORD0063,1327.00,captured,2026-08-04
PAY0064,ORD0064,10748.00,captured,2026-08-05
PAY0065,ORD0065,17996.00,captured,2026-08-06
PAY0066,ORD0066,2529.00,captured,2026-08-07
PAY0067,ORD0067,8817.00,captured,2026-08-08
PAY0068,ORD0068,4864.00,captured,2026-08-09
PAY0069,ORD0069,1860.00,captured,2026-08-10
PAY0070,ORD0070,1628.00,captured,2026-08-11
PAY0071,ORD0071,19375.00,captured,2026-08-12
PAY0072,ORD0072,4926.00,captured,2026-08-13
PAY0073,ORD0073,4273.00,captured,2026-08-14
PAY0074,ORD0074,14964.00,captured,2026-08-15
PAY0075,ORD0075,5560.00,captured,2026-08-16
PAY0076,ORD0076,9435.00,captured,2026-08-17
PAY0077,ORD0077,13442.00,captured,2026-08-18
PAY0078,ORD0078,11076.00,captured,2026-08-19
PAY0079,ORD0079,16779.00,captured,2026-08-20
PAY0080,ORD0080,3626.00,captured,2026-08-01
PAY0081,ORD0081,10843.00,captured,2026-08-02
PAY0082,ORD0082,13310.00,captured,2026-08-03
PAY0083,ORD0083,1310.00,captured,2026-08-04
PAY0084,ORD0084,8776.00,captured,2026-08-05
PAY0085,ORD0085,18894.00,captured,2026-08-06
PAY0086,ORD0086,3198.00,captured,2026-08-07
PAY0087,ORD0087,984.00,captured,2026-08-08
PAY0088,ORD0088,9594.00,refunded,2026-08-09
PAY0089,ORD0089,13010.00,captured,2026-08-10
PAY0090,ORD0090,15700.00,captured,2026-08-11
PAY0091,ORD0091,5062.00,captured,2026-08-12
PAY0092,ORD0092,11095.00,captured,2026-08-13
PAY0093,ORD0093,12268.00,captured,2026-08-14
PAY0094,ORD0094,779.00,captured,2026-08-15
PAY0095,ORD0095,12470.00,captured,2026-08-16
PAY0096,ORD0096,17465.00,captured,2026-08-17
PAY0097,ORD0097,19576.00,captured,2026-08-18
PAY0098,ORD0098,11248.00,captured,2026-08-19
PAY0099,ORD0099,13323.00,captured,2026-08-20
PAY0100,ORD0100,3204.00,captured,2026-08-01
PAY0031,ORD0031,18392.00,captured,2026-08-12
