settlement_id,payment_id,gross_amount,fee,net_amount,settled_at
SETL0001,PAY0001,14315.00,286.30,14028.70,2026-08-04
SETL0002,PAY0002,1724.00,34.48,1689.52,2026-08-05
SETL0003,PAY0003,17092.00,341.84,16750.16,2026-08-06
SETL0004,PAY0004,12395.00,247.90,12147.10,2026-08-07
SETL0005,PAY0005,5470.00,109.40,5360.60,2026-08-08
SETL0006,PAY0006,9391.00,187.82,9203.18,2026-08-09
SETL0007,PAY0007,12478.00,249.56,12228.44,2026-08-10
SETL0008,PAY0008,7527.00,150.54,7376.46,2026-08-11
SETL0010,PAY0010,7058.00,141.16,6916.84,2026-08-13
SETL0011,PAY0011,12313.00,246.26,12066.74,2026-08-14
SETL0012,PAY0012,1679.00,33.58,1645.42,2026-08-15
SETL0013,PAY0013,9992.00,199.84,9792.16,2026-08-16
SETL0014,PAY0014,17631.00,377.62,17253.38,2026-08-17
SETL0015,PAY0015,15216.00,304.32,14911.68,2026-08-18
SETL0016,PAY0016,17080.00,341.60,16738.40,2026-08-19
SETL0018,PAY0018,14979.00,299.58,14679.42,2026-08-21
SETL0019,PAY0019,1134.00,22.68,1111.32,2026-08-22
SETL0020,PAY0020,18762.00,375.24,18386.76,2026-08-03
SETL0021,PAY0021,12632.00,252.64,12379.36,2026-08-04
SETL0022,PAY0022,16397.00,327.94,16069.06,2026-08-05
SETL0023,PAY0023,12530.00,250.60,12279.40,2026-08-06
SETL0024,PAY0024,9784.00,195.68,9588.32,2026-08-07
SETL0025,PAY0025,2764.00,55.28,2708.72,2026-08-08
SETL0026,PAY0026,14575.00,291.50,14283.50,2026-08-09
SETL0027,PAY0027,19234.00,384.68,18849.32,2026-08-10
SETL0028,PAY0028,19088.00,381.76,18706.24,2026-08-11
SETL0029,PAY0029,19373.00,387.46,18985.54,2026-08-12
SETL0030,PAY0030,13287.00,265.74,13021.26,2026-08-13
SETL0031,PAY0031,18392.00,367.84,18024.16,2026-08-14
SETL0032,PAY0032,16547.00,330.94,16216.06,2026-08-15
SETL0033,PAY0033,14038.00,280.76,13757.24,2026-08-16
SETL0034,PAY0034,8289.00,165.78,8123.22,2026-08-17
SETL0035,PAY0035,557.00,11.14,545.86,2026-08-18
SETL0036,PAY0036,12304.00,246.08,12057.92,2026-08-19
SETL0037,PAY0037,19957.00,399.14,19557.86,2026-08-20
SETL0038,PAY0038,15732.00,314.64,15417.36,2026-08-21
SETL0039,PAY0039,5669.00,113.38,5555.62,2026-08-22
SETL0040,PAY0040,13101.00,262.02,12838.98,2026-08-03
SETL0041,PAY0041,17002.00,340.04,16661.96,2026-08-04
SETL0043,PAY0043,5366.00,107.32,5258.68,2026-08-06
SETL0044,PAY0044,17139.00,342.78,16796.22,2026-08-07
SETL0045,PAY0045,609.00,12.18,596.82,2026-08-08
SETL0046,PAY0046,14563.00,291.26,14271.74,2026-08-09
SETL0047,PAY0047,7743.00,154.86,7588.14,2026-08-10
SETL0048,PAY0048,12212.00,244.24,11967.76,2026-08-11
SETL0049,PAY0049,5474.00,109.48,5364.52,2026-08-12
SETL0050,PAY0050,19621.00,392.42,19228.58,2026-08-13
SETL0051,PAY0051,11401.00,228.02,11172.98,2026-08-14
SETL0052,PAY0052,6934.00,138.68,6795.32,2026-08-15
SETL0053,PAY0053,9951.00,199.02,9751.98,2026-08-16
SETL0055,PAY0055,1064.00,21.28,1042.72,2026-08-18
SETL0056,PAY0056,2981.00,59.62,2921.38,2026-08-19
SETL0057,PAY0057,7863.00,157.26,7705.74,2026-08-20
SETL0058,PAY0058,18110.00,362.20,17747.80,2026-08-21
SETL0059,PAY0059,8663.00,173.26,8489.74,2026-08-22
SETL0060,PAY0060,16551.00,331.02,16219.98,2026-08-03
SETL0061,PAY0061,10166.00,228.32,9937.68,2026-08-04
SETL0062,PAY0062,16199.00,323.98,15875.02,2026-08-05
SETL0063,PAY0063,1327.00,26.54,1300.46,2026-08-06
SETL0064,PAY0064,10748.00,214.96,10533.04,2026-08-07
SETL0065,PAY0065,17996.00,359.92,17636.08,2026-08-08
SETL0066,PAY0066,2529.00,50.58,2478.42,2026-08-09
SETL0067,PAY0067,8817.00,176.34,8640.66,2026-08-10
SETL0068,PAY0068,4864.00,97.28,4766.72,2026-08-11
SETL0069,PAY0069,1860.00,37.20,1822.80,2026-08-12
SETL0070,PAY0070,1628.00,32.56,1595.44,2026-08-13
SETL0071,PAY0071,19375.00,387.50,18987.50,2026-08-14
SETL0072,PAY0072,4926.00,98.52,4827.48,2026-08-15
SETL0073,PAY0073,4273.00,85.46,4187.54,2026-08-16
SETL0074,PAY0074,14964.00,299.28,14664.72,2026-08-17
SETL0075,PAY0075,5560.00,111.20,5448.80,2026-08-18
SETL0076,PAY0076,9435.00,188.70,9246.30,2026-08-19
SETL0077,PAY0077,13442.00,268.84,13173.16,2026-08-20
SETL0078,PAY0078,11076.00,221.52,10854.48,2026-08-21
SETL0080,PAY0080,3626.00,72.52,3553.48,2026-08-03
SETL0081,PAY0081,10843.00,216.86,10626.14,2026-08-04
SETL0082,PAY0082,13310.00,266.20,13043.80,2026-08-05
SETL0083,PAY0083,1310.00,26.20,1283.80,2026-08-06
SETL0084,PAY0084,8776.00,175.52,8600.48,2026-08-07
SETL0085,PAY0085,18894.00,377.88,18516.12,2026-08-08
SETL0086,PAY0086,3198.00,63.96,3134.04,2026-08-09
SETL0087,PAY0087,984.00,19.68,964.32,2026-08-10
SETL0089,PAY0089,13010.00,260.20,12749.80,2026-08-12
SETL0090,PAY0090,15700.00,314.00,15386.00,2026-08-13
SETL0091,PAY0091,5062.00,101.24,4960.76,2026-08-14
SETL0092,PAY0092,11095.00,221.90,10873.10,2026-08-15
SETL0093,PAY0093,12268.00,245.36,12022.64,2026-08-16
SETL0094,PAY0094,779.00,15.58,763.42,2026-08-17
SETL0095,PAY0095,12470.00,249.40,12220.60,2026-08-18
SETL0096,PAY0096,17465.00,349.30,17115.70,2026-08-19
SETL0097,PAY0097,19576.00,391.52,19184.48,2026-08-20
SETL0098,PAY0098,11248.00,224.96,11023.04,2026-08-21
SETL0099,PAY0099,13323.00,266.46,13056.54,2026-08-22
SETL0100,PAY0100,3204.00,64.08,3139.92,2026-08-03
